Price,Address,Details
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
"$2,395/mo","1370 Veteran Ave, 1370 Veteran Ave APT 220, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$4,375/mo","Argon Wilshire, 10636 Wilshire Blvd APT 105, Los Angeles, CA 90024",2 bd | 3 ba | 1415 sqft
"$2,695+ Studio","Rochester Bruins | 10965 Rochester Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
"$2,395/mo","1370 Veteran Ave, 1370 Veteran Ave APT 220, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$4,375/mo","Argon Wilshire, 10636 Wilshire Blvd APT 105, Los Angeles, CA 90024",2 bd | 3 ba | 1415 sqft
"$2,695+ Studio","Rochester Bruins | 10965 Rochester Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,574+ 1 bd","The Plaza Apartments | 10983 Wellworth Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,395+ Studio","Rochester Parkside | 10989 Rochester Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,716+ Studio","Midvale Apartments | 527 Midvale Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$2,755+ 1 bd","Strathmore Veteran | 11090 Strathmore Dr, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,495+ Studio","eight70 | 870 Hilgard Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,850+ 1 bd","The Kelton Arms | 433 Kelton Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$3,495+ 2 bds","Century City Icon | 10473 Santa Monica Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,288+ Studio","Lindbrook Manor Apartments | 10824 Lindbrook Dr, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$3,075+ 1 bd","Rochester Apartments | 10959 Rochester Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$15,805/mo","Utama Royale, 10351 Wilshire Blvd #PENTHOUSE 3, Los Angeles, CA 90024",3 bd | 4 ba | 2697 sqft
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
"$2,395/mo","1370 Veteran Ave, 1370 Veteran Ave APT 220, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$4,375/mo","Argon Wilshire, 10636 Wilshire Blvd APT 105, Los Angeles, CA 90024",2 bd | 3 ba | 1415 sqft
"$2,695+ Studio","Rochester Bruins | 10965 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,574+ 1 bd","The Plaza Apartments | 10983 Wellworth Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$2,395+ Studio","Rochester Parkside | 10989 Rochester Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$2,716+ Studio","Midvale Apartments | 527 Midvale Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,755+ 1 bd","Strathmore Veteran | 11090 Strathmore Dr, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,495+ Studio","eight70 | 870 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$2,850+ 1 bd","The Kelton Arms | 433 Kelton Ave, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$3,400+/mo","Wilshire Villa, 10811 Ashton Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1200 sqft
"$3,795+ 1 bd","The Glendon | 1040 Glendon Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,350+ 1 bd","10933 Rochester | 10933 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,500+/mo","1380 Midvale Avenue, 1380 Midvale Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$2,395+ Studio","Westwood Kelton Towers | 1395 Kelton Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$1,350+ Studio","Wilshire Margot | 10599 Wilshire Blvd, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$2,895+ 1 bd","520 Kelton | 520 Kelton Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$3,695+ Studio","Gayley & Lindbrook | 1122 Gayley Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,650/mo","Levering Apartments, 628-638 Levering Ave #632B, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$3,980+ 2 bds","1626 Malcolm Ave | 1626 Malcolm Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,395+/mo","1377 S Beverly Glen, 1377 S Beverly Glen Blvd, Los Angeles, CA 90024",1 bd | 1 ba | 750 sqft
"$2,700+ 1 bd","Westwood Executive House | 424 Kelton Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,195+ Studio","Wilshire Westwood | 10530 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,890+ Studio","Westwood Riviera Apartments | 10969 Wellworth Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,375+ Studio","Westwood Village Galleria | 1441 Veteran Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$2,000/mo","616 Veteran, 616 Veteran Ave #0, Los Angeles, CA 90024",Studio | 1 ba | 550 sqft
"$1,800+ Studio","BMV Properties | 690 Veteran Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$4,195+ 1 bd","Sterling International Towers | 10390 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$1,695+ Studio","10905 Ohio Ave. | 10905 Ohio Ave, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$3,200+ 1 bd","Roberts Hall | 670 Kelton Ave, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$3,295/mo","The Parkway, 1675 Manning Ave APT 17, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,595/mo","The Westwood Park Apartments, 550 Veteran Ave #311, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,495+ 2 bds","Century City Icon | 10473 Santa Monica Blvd, Los Angeles, CA",2 bd | 2 ba | 1200 sqft
"$2,288+ Studio","Lindbrook Manor Apartments | 10824 Lindbrook Dr, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$3,075+ 1 bd","Rochester Apartments | 10959 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$15,805/mo","Utama Royale, 10351 Wilshire Blvd #PENTHOUSE 3, Los Angeles, CA 90024",3 bd | 4 ba | 2697 sqft
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
"$2,395/mo","1370 Veteran Ave, 1370 Veteran Ave APT 220, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$4,375/mo","Argon Wilshire, 10636 Wilshire Blvd APT 105, Los Angeles, CA 90024",2 bd | 3 ba | 1415 sqft
"$2,695+ Studio","Rochester Bruins | 10965 Rochester Ave, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$2,574+ 1 bd","The Plaza Apartments | 10983 Wellworth Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,395+ Studio","Rochester Parkside | 10989 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,716+ Studio","Midvale Apartments | 527 Midvale Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$2,755+ 1 bd","Strathmore Veteran | 11090 Strathmore Dr, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,495+ Studio","eight70 | 870 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$2,850+ 1 bd","The Kelton Arms | 433 Kelton Ave, Los Angeles, CA",2 bd | 2 ba | 1200 sqft
"$3,400+/mo","Wilshire Villa, 10811 Ashton Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1200 sqft
"$3,795+ 1 bd","The Glendon | 1040 Glendon Ave, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$2,350+ 1 bd","10933 Rochester | 10933 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,500+/mo","1380 Midvale Avenue, 1380 Midvale Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$2,395+ Studio","Westwood Kelton Towers | 1395 Kelton Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$1,350+ Studio","Wilshire Margot | 10599 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,895+ 1 bd","520 Kelton | 520 Kelton Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,695+ Studio","Gayley & Lindbrook | 1122 Gayley Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$2,650/mo","Levering Apartments, 628-638 Levering Ave #632B, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$3,980+ 2 bds","1626 Malcolm Ave | 1626 Malcolm Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,395+/mo","1377 S Beverly Glen, 1377 S Beverly Glen Blvd, Los Angeles, CA 90024",1 bd | 1 ba | 750 sqft
"$2,700+ 1 bd","Westwood Executive House | 424 Kelton Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,195+ Studio","Wilshire Westwood | 10530 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,890+ Studio","Westwood Riviera Apartments | 10969 Wellworth Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$2,375+ Studio","Westwood Village Galleria | 1441 Veteran Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$2,000/mo","616 Veteran, 616 Veteran Ave #0, Los Angeles, CA 90024",Studio | 1 ba | 550 sqft
"$1,800+ Studio","BMV Properties | 690 Veteran Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$4,195+ 1 bd","Sterling International Towers | 10390 Wilshire Blvd, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$1,695+ Studio","10905 Ohio Ave. | 10905 Ohio Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$3,200+ 1 bd","Roberts Hall | 670 Kelton Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$3,295/mo","The Parkway, 1675 Manning Ave APT 17, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,595/mo","The Westwood Park Apartments, 550 Veteran Ave #311, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,495+ 2 bds","Century City Icon | 10473 Santa Monica Blvd, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$2,288+ Studio","Lindbrook Manor Apartments | 10824 Lindbrook Dr, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$3,075+ 1 bd","Rochester Apartments | 10959 Rochester Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$15,805/mo","Utama Royale, 10351 Wilshire Blvd #PENTHOUSE 3, Los Angeles, CA 90024",3 bd | 4 ba | 2697 sqft
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
"$2,395/mo","1370 Veteran Ave, 1370 Veteran Ave APT 220, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$4,375/mo","Argon Wilshire, 10636 Wilshire Blvd APT 105, Los Angeles, CA 90024",2 bd | 3 ba | 1415 sqft
"$2,695+ Studio","Rochester Bruins | 10965 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,574+ 1 bd","The Plaza Apartments | 10983 Wellworth Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,395+ Studio","Rochester Parkside | 10989 Rochester Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$2,716+ Studio","Midvale Apartments | 527 Midvale Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$2,755+ 1 bd","Strathmore Veteran | 11090 Strathmore Dr, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$2,495+ Studio","eight70 | 870 Hilgard Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$2,850+ 1 bd","The Kelton Arms | 433 Kelton Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$3,400+/mo","Wilshire Villa, 10811 Ashton Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1200 sqft
"$3,795+ 1 bd","The Glendon | 1040 Glendon Ave, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$2,350+ 1 bd","10933 Rochester | 10933 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,500+/mo","1380 Midvale Avenue, 1380 Midvale Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$2,395+ Studio","Westwood Kelton Towers | 1395 Kelton Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$1,350+ Studio","Wilshire Margot | 10599 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,895+ 1 bd","520 Kelton | 520 Kelton Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,695+ Studio","Gayley & Lindbrook | 1122 Gayley Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,650/mo","Levering Apartments, 628-638 Levering Ave #632B, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$3,980+ 2 bds","1626 Malcolm Ave | 1626 Malcolm Ave, Los Angeles, CA",2 bd | 2 ba | 1200 sqft
"$2,395+/mo","1377 S Beverly Glen, 1377 S Beverly Glen Blvd, Los Angeles, CA 90024",1 bd | 1 ba | 750 sqft
"$2,700+ 1 bd","Westwood Executive House | 424 Kelton Ave, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$2,195+ Studio","Wilshire Westwood | 10530 Wilshire Blvd, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,890+ Studio","Westwood Riviera Apartments | 10969 Wellworth Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$2,375+ Studio","Westwood Village Galleria | 1441 Veteran Ave, Los Angeles, CA",Studio | 1 ba | 550 sqft
"$2,000/mo","616 Veteran, 616 Veteran Ave #0, Los Angeles, CA 90024",Studio | 1 ba | 550 sqft
"$1,800+ Studio","BMV Properties | 690 Veteran Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$4,195+ 1 bd","Sterling International Towers | 10390 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$1,695+ Studio","10905 Ohio Ave. | 10905 Ohio Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$3,200+ 1 bd","Roberts Hall | 670 Kelton Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$3,295/mo","The Parkway, 1675 Manning Ave APT 17, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,595/mo","The Westwood Park Apartments, 550 Veteran Ave #311, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,495+ 2 bds","Century City Icon | 10473 Santa Monica Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,288+ Studio","Lindbrook Manor Apartments | 10824 Lindbrook Dr, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$3,075+ 1 bd","Rochester Apartments | 10959 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$15,805/mo","Utama Royale, 10351 Wilshire Blvd #PENTHOUSE 3, Los Angeles, CA 90024",3 bd | 4 ba | 2697 sqft
"$6,095/mo","Wilshire Victoria Westwood Apartments, 10700 Wilshire Blvd APT 206, Los Angeles, CA 90024",1 bd | 1 ba | 1129 sqft
"$4,100/mo","Strathmore Regency, 11050 Strathmore Dr #1STFLOOR, Los Angeles, CA 90024",2 bd | 2 ba | 920 sqft
"$2,995+ 1 bd","Westwood Village Apartments | 1033 Hilgard Ave, Los Angeles, CA",2 bd | 2 ba | 1200 sqft
"$3,335+ 1 bd","10401 Wilshire Building | 10401 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$5,250+ 2 bds","Village Lofts | 11024 Strathmore Dr, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$18,000/mo","Lumiere at Malcolm - Luxury Homes, 1644 Malcolm Ave #530, Los Angeles, CA 90024",4 bd | 5 ba | 2953 sqft
"$2,395/mo","1370 Veteran Ave, 1370 Veteran Ave APT 220, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$4,375/mo","Argon Wilshire, 10636 Wilshire Blvd APT 105, Los Angeles, CA 90024",2 bd | 3 ba | 1415 sqft
"$2,695+ Studio","Rochester Bruins | 10965 Rochester Ave, Los Angeles, CA",4 bd | 5 ba | 2953 sqft
"$2,574+ 1 bd","The Plaza Apartments | 10983 Wellworth Ave, Los Angeles, CA",3 bd | 4 ba | 2697 sqft
"$2,395+ Studio","Rochester Parkside | 10989 Rochester Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$2,716+ Studio","Midvale Apartments | 527 Midvale Ave, Los Angeles, CA",2 bd | 2 ba | 1200 sqft
"$2,755+ 1 bd","Strathmore Veteran | 11090 Strathmore Dr, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,495+ Studio","eight70 | 870 Hilgard Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,850+ 1 bd","The Kelton Arms | 433 Kelton Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$3,400+/mo","Wilshire Villa, 10811 Ashton Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1200 sqft
"$3,795+ 1 bd","The Glendon | 1040 Glendon Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$2,350+ 1 bd","10933 Rochester | 10933 Rochester Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$3,500+/mo","1380 Midvale Avenue, 1380 Midvale Ave, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$2,395+ Studio","Westwood Kelton Towers | 1395 Kelton Ave, Los Angeles, CA",2 bd | 3 ba | 1415 sqft
"$1,350+ Studio","Wilshire Margot | 10599 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,895+ 1 bd","520 Kelton | 520 Kelton Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$3,695+ Studio","Gayley & Lindbrook | 1122 Gayley Ave, Los Angeles, CA",2 bd | 2 ba | 1200 sqft
"$2,650/mo","Levering Apartments, 628-638 Levering Ave #632B, Los Angeles, CA 90024",1 bd | 1 ba | 600 sqft
"$3,980+ 2 bds","1626 Malcolm Ave | 1626 Malcolm Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,395+/mo","1377 S Beverly Glen, 1377 S Beverly Glen Blvd, Los Angeles, CA 90024",1 bd | 1 ba | 750 sqft
"$2,700+ 1 bd","Westwood Executive House | 424 Kelton Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$2,195+ Studio","Wilshire Westwood | 10530 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,890+ Studio","Westwood Riviera Apartments | 10969 Wellworth Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$2,375+ Studio","Westwood Village Galleria | 1441 Veteran Ave, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$2,000/mo","616 Veteran, 616 Veteran Ave #0, Los Angeles, CA 90024",Studio | 1 ba | 550 sqft
"$1,800+ Studio","BMV Properties | 690 Veteran Ave, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$4,195+ 1 bd","Sterling International Towers | 10390 Wilshire Blvd, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$1,695+ Studio","10905 Ohio Ave. | 10905 Ohio Ave, Los Angeles, CA",1 bd | 1 ba | 750 sqft
"$3,200+ 1 bd","Roberts Hall | 670 Kelton Ave, Los Angeles, CA",1 bd | 1 ba | 1129 sqft
"$3,295/mo","The Parkway, 1675 Manning Ave APT 17, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,595/mo","The Westwood Park Apartments, 550 Veteran Ave #311, Los Angeles, CA 90024",2 bd | 2 ba | 1100 sqft
"$3,495+ 2 bds","Century City Icon | 10473 Santa Monica Blvd, Los Angeles, CA",2 bd | 2 ba | 1100 sqft
"$2,288+ Studio","Lindbrook Manor Apartments | 10824 Lindbrook Dr, Los Angeles, CA",1 bd | 1 ba | 600 sqft
"$3,075+ 1 bd","Rochester Apartments | 10959 Rochester Ave, Los Angeles, CA",2 bd | 2 ba | 920 sqft
"$15,805/mo","Utama Royale, 10351 Wilshire Blvd #PENTHOUSE 3, Los Angeles, CA 90024",3 bd | 4 ba | 2697 sqft
